student_id,student_level,international_status,program_category,semester_stage,semester,program_total_credits,credits,part_time_enrollment,scholarships,financial_aid,area_of_interest,research,academic_advisor,date_of_birth,age,SSN,nationality,place_of_birth,on_campus_work
SSCD_926,Undergraduate,Domestic,Data Science,Fall,5,120,12,,"Athlete, In-State, General","Direct Unsubsidized Loan, Pell Grant","Financial Analytics, Big Data Analytics","Dr. Omar Hassan, Dr. Jacob Stein",Samantha Reed,2005-12-21,20,839-43-9201,American,Texas,Yes
SSCD_693,Undergraduate,Domestic,Data Science,Fall,2,120,9,,General,,"Predictive Modeling, Big Data Analytics","Dr. Aisha Rahman, Dr. Jacob Stein",Jordan Nguyen,2006-03-19,19,822-44-7807,American,California,Yes
SSCD_895,Undergraduate,Domestic,Engineering,Fall,6,120,9,,"Merit, In-State, General","Work Study, In-State Grant","Biomedical Engineering, IoT Systems, Renewable Energy","Dr. Fatima Ali, Dr. Keira Johnson, Dr. Hannah Fischer",Taylor Johnson,2004-01-28,21,835-99-7291,American,Texas,Yes
SSCD_767,Undergraduate,Domestic,Business,Fall,6,120,12,,"In-State, General",,"Marketing Analytics, Entrepreneurship, Corporate Strategy","Dr. Andrew Patel, Dr. Isabella Rossi, Dr. Samuel Reed",Morgan Ellis,2007-08-09,18,,American,Texas,No
SSCD_934,Graduate,Domestic,Data Science,Fall,1,36,9,,General,,Big Data Analytics,Dr. Jacob Stein,Dr. Priyanka Shah,2001-04-05,24,151-84-8811,American,Arizona,Yes
SSCD_354,Undergraduate,International,General,Spring,8,120,12,No,"Merit, General",Not Eligible,"Public Policy, Environmental Studies, Community Development",Dr. Ava Greene,Quinn Harper,2004-04-16,21,,Indian,Chennai,Yes
SSCD_531,Undergraduate,Domestic,Business,Fall,2,120,12,,"In-State, General",,Entrepreneurship,Dr. Isabella Rossi,Morgan Ellis,2006-06-05,19,358-71-2869,American,Texas,Yes
SSCD_027,Undergraduate,Domestic,Engineering,Fall,7,120,12,,"Alumni, In-State, General",State Grant,Biomedical Engineering,Dr. Fatima Ali,Taylor Johnson,2004-09-21,21,956-11-2528,American,Texas,Yes
SSCD_680,Graduate,Domestic,Data Science,Fall,4,36,9,,"In-State, General","Pell Grant, In-State Grant",Big Data Analytics,Dr. Jacob Stein,Dr. Priyanka Shah,1996-10-29,29,101-76-9821,American,Texas,Yes
SSCD_517,Graduate,International,Computer Science,Fall,2,33,9,No,General,Not Eligible,Cloud Computing,Dr. Liam Chen,Dr. Daniel Cho,2002-07-18,23,724-58-4945,Chinese,Guangzhou,Yes
SSCD_301,Undergraduate,International,Engineering,Fall,7,120,12,No,"Athlete, General",Not Eligible,Robotics,Dr. Rohan Mehta,Taylor Johnson,2005-10-10,20,420-64-6120,Indian,Hyderabad,Yes
SSCD_626,Graduate,International,Computer Science,Spring,3,33,9,No,General,Not Eligible,"Artificial Intelligence, Blockchain","Dr. Maya Iyer, Dr. Noah Williams",Dr. Nisha Verma,2003-11-17,22,,Indian,Pune,Yes
SSCD_419,Undergraduate,International,Business,Fall,3,120,18,No,"Athlete, General",Not Eligible,"FinTech, Corporate Strategy","Dr. Natalie Cooper, Dr. Samuel Reed",Morgan Ellis,2004-08-30,21,326-52-3754,Chinese,Shenzhen,Yes
SSCD_967,Undergraduate,Domestic,Engineering,Fall,5,120,12,,General,,Smart Infrastructure,Dr. Daniel Brooks,Taylor Johnson,2008-02-24,17,,American,Colorado,No
SSCD_465,Undergraduate,Domestic,Engineering,Spring,2,120,9,,"Athlete, In-State, General","State Grant, Direct Subsidized Loan, Pell Grant",Robotics,Dr. Rohan Mehta,Casey Alvarez,2006-03-06,19,175-78-4492,American,Texas,Yes
SSCD_473,Graduate,Domestic,Engineering,Spring,4,36,6,,"Athlete, Veteran, In-State, General","Institutional Grant, Direct Subsidized Loan",Biomedical Engineering,Dr. Fatima Ali,Dr. Helena Fischer,1997-06-27,28,605-66-2317,American,Texas,Yes
SSCD_499,Undergraduate,Domestic,Business,Spring,7,120,9,,"Veteran, In-State, General",Work Study,Marketing Analytics,Dr. Andrew Patel,Chris Dawson,2005-07-13,20,649-25-7201,American,Texas,Yes
SSCD_102,Graduate,Domestic,Engineering,Fall,3,36,9,,General,,Robotics,Dr. Rohan Mehta,Dr. Omar Farouk,1996-10-06,29,619-49-7691,American,Florida,Yes
SSCD_028,Undergraduate,Domestic,Data Science,Fall,6,120,9,,General,,Statistical Learning,Dr. Benjamin Ortiz,Jordan Nguyen,2007-01-05,19,899-93-1659,American,Ohio,Yes
SSCD_638,Undergraduate,Domestic,Business,Fall,8,120,6,,General,,Corporate Strategy,Dr. Samuel Reed,Morgan Ellis,2005-11-22,20,779-84-7046,American,Georgia,Yes
SSCD_352,Undergraduate,International,General,Fall,7,120,15,No,"Merit, General",Not Eligible,"Education Systems, Environmental Studies",,Quinn Harper,2008-05-16,17,,Indian,Hyderabad,No
SSCD_822,Graduate,International,Data Science,Fall,3,36,9,No,General,Not Eligible,Big Data Analytics,Dr. Jacob Stein,Dr. Priyanka Shah,1999-11-11,26,225-68-2501,Indian,Bangalore,Yes
SSCD_106,Undergraduate,Domestic,Data Science,Spring,2,120,9,,"Veteran, In-State, General",Direct Unsubsidized Loan,Financial Analytics,Dr. Omar Hassan,Jordan Nguyen,2004-12-01,21,486-68-6272,American,Texas,Yes
SSCD_054,Undergraduate,Domestic,Business,Fall,1,120,9,,"In-State, General",In-State Grant,Financial Risk,Dr. Chloe Martin,Chris Dawson,2007-04-05,18,,American,Texas,No
SSCD_929,Graduate,International,Engineering,Fall,1,36,9,No,General,Not Eligible,"Embedded Systems, Robotics","Dr. Miguel Santos, Dr. Rohan Mehta",Dr. Omar Farouk,2000-01-22,25,716-29-2234,Indian,Hyderabad,Yes
SSCD_769,Undergraduate,Domestic,Data Science,Spring,4,120,15,,"In-State, General",,"Big Data Analytics, Financial Analytics, MLOps","Dr. Jacob Stein, Dr. Omar Hassan, Dr. Grace Kim",Jordan Nguyen,2007-09-28,18,,American,Texas,No
SSCD_644,Graduate,International,Computer Science,Spring,1,33,9,No,General,Not Eligible,Human-Computer Interaction,Dr. Priya Nandakumar,Dr. Daniel Cho,2002-03-01,23,536-97-2768,Chinese,Shenzhen,Yes
SSCD_983,Graduate,Domestic,Business,Spring,2,33,9,,"Alumni, In-State, General",Direct Unsubsidized Loan,Marketing Analytics,Dr. Andrew Patel,Dr. Rakesh Iyer,2002-12-13,23,790-83-1339,American,Texas,Yes
SSCD_443,Undergraduate,Domestic,Arts,Fall,1,120,9,,"In-State, General",Pell Grant,"Film Studies, Visual Design",Dr. Leila Haddad,Avery Thompson,2005-09-27,20,868-44-6573,American,Texas,Yes
SSCD_598,Graduate,Domestic,Business,Fall,3,33,9,,General,,"Corporate Strategy, Financial Risk, Marketing Analytics","Dr. Samuel Reed, Dr. Chloe Martin, Dr. Andrew Patel",Dr. Rakesh Iyer,1997-02-12,28,392-64-8973,American,Ohio,Yes
SSCD_600,Undergraduate,Domestic,Engineering,Spring,7,120,12,,General,,IoT Systems,Dr. Keira Johnson,Taylor Johnson,2008-02-25,17,,American,Ohio,No
SSCD_024,Graduate,International,Computer Science,Spring,4,33,9,No,General,Not Eligible,"Blockchain, Cloud Computing, Machine Learning","Dr. Noah Williams, Dr. Liam Chen, Dr. Ethan Park",Dr. Nisha Verma,1996-01-11,29,,Indian,Bangalore,No
SSCD_428,Undergraduate,Domestic,Data Science,Spring,4,120,12,,"Merit, Athlete, In-State, General","Direct Unsubsidized Loan, In-State Grant",Healthcare Analytics,Dr. Elena Petrova,Jordan Nguyen,2007-09-23,18,,American,Texas,No
SSCD_121,Undergraduate,Domestic,Engineering,Fall,3,120,12,,"In-State, General",,Robotics,Dr. Rohan Mehta,Casey Alvarez,2004-07-16,21,294-22-2588,American,Texas,Yes
SSCD_614,Undergraduate,International,General,Spring,3,120,12,No,General,Not Eligible,"Interdisciplinary Research, Environmental Studies",,Quinn Harper,2007-08-12,18,,Indian,Bangalore,No
SSCD_529,Graduate,International,Computer Science,Fall,2,33,9,No,General,Not Eligible,Human-Computer Interaction,Dr. Priya Nandakumar,Dr. Nisha Verma,2000-06-18,25,,Indian,Hyderabad,Yes
SSCD_022,Graduate,Domestic,Engineering,Fall,1,36,9,,"In-State, General",In-State Grant,"Smart Infrastructure, Robotics","Dr. Daniel Brooks, Dr. Rohan Mehta",Dr. Omar Farouk,2002-10-04,23,614-77-3579,American,Texas,Yes
SSCD_650,Graduate,Domestic,Arts,Fall,1,33,9,,"In-State, General","Pell Grant, In-State Grant",Film Studies,Dr. Leila Haddad,Dr. Leila Haddad,1997-11-08,28,880-32-9317,American,Texas,Yes
SSCD_932,Undergraduate,Domestic,Business,Fall,3,120,9,,"In-State, General",,"Supply Chain, Entrepreneurship, Financial Risk","Dr. Victor Nguyen, Dr. Isabella Rossi, Dr. Chloe Martin",Morgan Ellis,2005-07-15,20,,American,Texas,No
SSCD_276,Graduate,International,Data Science,Fall,4,36,9,No,"Alumni, General",Not Eligible,Financial Analytics,Dr. Omar Hassan,Dr. Priyanka Shah,1996-08-09,29,764-62-2911,Indian,Hyderabad,Yes
SSCD_497,Undergraduate,Domestic,Engineering,Fall,4,120,9,,General,,"Biomedical Engineering, Renewable Energy, Robotics","Dr. Fatima Ali, Dr. Hannah Fischer, Dr. Rohan Mehta",Taylor Johnson,2004-12-10,21,,American,Washington,No
SSCD_491,Graduate,International,Computer Science,Fall,1,33,9,No,General,Not Eligible,Blockchain,Dr. Noah Williams,Dr. Nisha Verma,1997-03-02,28,,French,Lyon,No
SSCD_109,Undergraduate,Domestic,Arts,Fall,6,120,9,,General,,"Creative Writing, Cultural Studies",Dr. Marcus Thompson,Avery Thompson,2007-08-11,18,,American,Florida,No
SSCD_968,Graduate,Domestic,Data Science,Fall,2,36,9,,"Veteran, Athlete, Alumni, In-State, General",Direct Subsidized Loan,"Financial Analytics, Statistical Learning, MLOps","Dr. Omar Hassan, Dr. Benjamin Ortiz, Dr. Grace Kim",Dr. Marcus Lin,2000-07-14,25,702-80-4770,American,Texas,Yes
SSCD_882,Undergraduate,Domestic,Engineering,Spring,2,120,9,,"Merit, In-State, General","Direct Subsidized Loan, In-State Grant","Smart Infrastructure, Robotics, Biomedical Engineering","Dr. Daniel Brooks, Dr. Rohan Mehta, Dr. Fatima Ali",Casey Alvarez,2005-02-16,20,365-41-5543,American,Texas,Yes
SSCD_457,Undergraduate,Domestic,Data Science,Fall,5,120,12,,"In-State, General",In-State Grant,Financial Analytics,Dr. Omar Hassan,Jordan Nguyen,2004-01-22,21,348-70-7669,American,Texas,Yes
SSCD_682,Graduate,Domestic,Engineering,Spring,4,36,9,,General,,"Smart Infrastructure, Biomedical Engineering","Dr. Daniel Brooks, Dr. Fatima Ali",Dr. Omar Farouk,1999-03-14,26,159-40-2290,American,Illinois,Yes
SSCD_125,Undergraduate,Domestic,Arts,Fall,2,120,9,,"Merit, Veteran, Alumni, In-State, General","Work Study, Institutional Grant",Film Studies,Dr. Leila Haddad,Jamie Kim,2008-11-28,17,,American,Texas,No
SSCD_757,Undergraduate,Domestic,Business,Spring,5,120,9,,General,,Marketing Analytics,Dr. Andrew Patel,Chris Dawson,2008-12-15,17,,American,Colorado,No
SSCD_192,Graduate,Domestic,Engineering,Fall,1,36,9,,General,,Biomedical Engineering,Dr. Fatima Ali,Dr. Omar Farouk,2003-05-23,22,109-68-2638,American,Colorado,Yes
SSCD_221,Undergraduate,Domestic,Data Science,Spring,2,120,12,,"In-State, General",In-State Grant,"Financial Analytics, Statistical Learning","Dr. Omar Hassan, Dr. Benjamin Ortiz",Samantha Reed,2006-03-28,19,395-46-8438,American,Texas,Yes
SSCD_836,Undergraduate,Domestic,Arts,Spring,6,120,9,,"In-State, General",,Art Therapy,,Avery Thompson,2006-10-22,19,452-64-6419,American,Texas,Yes
SSCD_018,Undergraduate,Domestic,Data Science,Fall,4,120,15,,"In-State, General",In-State Grant,"MLOps, Financial Analytics, Big Data Analytics","Dr. Grace Kim, Dr. Omar Hassan, Dr. Jacob Stein",Samantha Reed,2006-09-24,19,108-95-5905,American,Texas,Yes
SSCD_515,Undergraduate,Domestic,Business,Spring,6,120,15,,"Alumni, In-State, General",Direct Unsubsidized Loan,Marketing Analytics,Dr. Andrew Patel,Chris Dawson,2007-08-25,18,,American,Texas,No
SSCD_679,Graduate,International,Data Science,Fall,3,36,9,No,"Alumni, General",Not Eligible,Healthcare Analytics,Dr. Elena Petrova,Dr. Priyanka Shah,2002-02-17,23,,Chinese,Guangzhou,Yes
SSCD_727,Graduate,International,Computer Science,Fall,4,33,9,No,General,Not Eligible,Artificial Intelligence,Dr. Maya Iyer,Dr. Daniel Cho,2000-05-22,25,862-57-3131,Indian,Hyderabad,Yes
SSCD_079,Undergraduate,International,Engineering,Spring,7,120,12,No,General,Not Eligible,"Renewable Energy, Robotics","Dr. Hannah Fischer, Dr. Rohan Mehta",Casey Alvarez,2008-11-29,17,,Indian,Kolkata,No
SSCD_202,Graduate,International,Computer Science,Spring,1,33,9,No,General,Not Eligible,"Artificial Intelligence, Machine Learning","Dr. Maya Iyer, Dr. Ethan Park",Dr. Nisha Verma,2000-02-10,25,195-65-2582,Indian,Hyderabad,Yes
SSCD_986,Graduate,International,Data Science,Fall,3,36,9,No,General,Not Eligible,Big Data Analytics,Dr. Jacob Stein,Dr. Priyanka Shah,1996-03-11,29,,Indian,Mumbai,Yes
SSCD_100,Graduate,Domestic,Arts,Fall,4,33,6,,General,,Film Studies,Dr. Leila Haddad,Dr. Leila Haddad,1996-10-28,29,529-38-8359,American,Washington,Yes
SSCD_084,Undergraduate,International,Engineering,Fall,8,120,12,No,General,Not Eligible,"Renewable Energy, Biomedical Engineering","Dr. Hannah Fischer, Dr. Fatima Ali",Taylor Johnson,2006-06-27,19,,Indian,Bangalore,Yes
SSCD_792,Graduate,International,Data Science,Spring,1,36,9,No,"Athlete, Merit, General",Not Eligible,"Healthcare Analytics, Big Data Analytics, Statistical Learning","Dr. Elena Petrova, Dr. Jacob Stein, Dr. Benjamin Ortiz",Dr. Priyanka Shah,1996-08-10,29,988-16-5712,Brazilian,São Paulo,Yes
SSCD_053,Undergraduate,International,Business,Fall,3,120,12,No,"Alumni, General",Not Eligible,Corporate Strategy,Dr. Samuel Reed,Morgan Ellis,2006-02-10,19,,Nigerian,Abuja,Yes
SSCD_621,Graduate,International,Computer Science,Spring,3,33,9,No,"Athlete, General",Not Eligible,Human-Computer Interaction,Dr. Priya Nandakumar,Dr. Nisha Verma,2003-08-22,22,206-83-9313,Indian,Hyderabad,Yes
SSCD_422,Graduate,Domestic,Engineering,Fall,3,36,9,,General,,Renewable Energy,Dr. Hannah Fischer,Dr. Helena Fischer,1999-05-19,26,984-16-2612,American,Georgia,Yes
SSCD_337,Undergraduate,Domestic,Arts,Fall,4,120,12,,"In-State, General",Direct Subsidized Loan,"Digital Media, Cultural Studies",Dr. Yuna Sato,Avery Thompson,2008-01-11,17,,American,Texas,No
SSCD_797,Undergraduate,International,General,Fall,7,120,12,No,General,Not Eligible,Social Justice,,Quinn Harper,2007-09-18,18,,Indian,Pune,No
SSCD_576,Graduate,Domestic,Data Science,Spring,3,36,9,,General,,"Predictive Modeling, MLOps, Healthcare Analytics","Dr. Aisha Rahman, Dr. Grace Kim, Dr. Elena Petrova",Dr. Priyanka Shah,1999-01-02,27,345-32-2229,American,North Carolina,Yes
SSCD_557,Graduate,International,Computer Science,Spring,2,33,9,No,General,Not Eligible,"Blockchain, Cybersecurity","Dr. Noah Williams, Dr. Sofia Alvarez",Dr. Daniel Cho,2001-08-02,24,,Indian,Kolkata,No
SSCD_439,Undergraduate,International,Business,Fall,6,120,15,No,General,Not Eligible,Entrepreneurship,Dr. Isabella Rossi,Chris Dawson,2007-02-17,18,,Indian,Hyderabad,No
SSCD_068,Graduate,International,Data Science,Fall,1,36,9,No,General,Not Eligible,Predictive Modeling,Dr. Aisha Rahman,Dr. Marcus Lin,2000-07-05,25,210-96-4830,Indian,Hyderabad,Yes
SSCD_191,Graduate,Domestic,Business,Spring,2,33,9,,General,,"Marketing Analytics, Corporate Strategy, Entrepreneurship","Dr. Andrew Patel, Dr. Samuel Reed, Dr. Isabella Rossi",Dr. Rakesh Iyer,1997-12-26,28,981-24-3504,American,Washington,Yes
SSCD_169,Undergraduate,Domestic,Business,Fall,6,120,9,,"In-State, General",,Financial Risk,Dr. Chloe Martin,Morgan Ellis,2008-02-27,17,,American,Texas,No
SSCD_225,Undergraduate,Domestic,General,Fall,1,120,9,,"Alumni, In-State, General","Pell Grant, In-State Grant",Education Systems,,Quinn Harper,2004-04-12,21,864-27-2143,American,Texas,Yes
SSCD_837,Undergraduate,Domestic,Data Science,Spring,8,120,6,,General,,"Predictive Modeling, Financial Analytics","Dr. Aisha Rahman, Dr. Omar Hassan",Samantha Reed,2005-08-16,20,584-80-9698,American,Ohio,Yes
SSCD_710,Undergraduate,Domestic,Arts,Fall,7,120,12,,"In-State, General",In-State Grant,Creative Writing,Dr. Marcus Thompson,Avery Thompson,2004-08-25,21,459-92-9346,American,Texas,Yes
SSCD_119,Undergraduate,Domestic,Business,Spring,1,120,9,,"In-State, General","State Grant, In-State Grant","Entrepreneurship, Marketing Analytics","Dr. Isabella Rossi, Dr. Andrew Patel",Chris Dawson,2004-05-29,21,884-76-8939,American,Texas,Yes
SSCD_201,Graduate,International,Data Science,Fall,2,36,9,No,"Merit, General",Not Eligible,"Healthcare Analytics, MLOps","Dr. Elena Petrova, Dr. Grace Kim",Dr. Marcus Lin,2001-02-05,24,,Chinese,Shenzhen,Yes
SSCD_501,Undergraduate,Domestic,Engineering,Fall,3,120,15,,"In-State, General",,"Smart Infrastructure, Robotics, Biomedical Engineering","Dr. Daniel Brooks, Dr. Rohan Mehta, Dr. Fatima Ali",Taylor Johnson,2005-01-19,20,458-38-2124,American,Texas,Yes
SSCD_841,Undergraduate,Domestic,General,Fall,5,120,15,,General,,"Interdisciplinary Research, Environmental Studies, Public Policy",Dr. Ava Greene,Quinn Harper,2006-09-06,19,246-43-3287,American,California,Yes
SSCD_667,Undergraduate,Domestic,Arts,Spring,1,120,12,,General,,"Visual Design, Cultural Studies",,Jamie Kim,2005-03-13,20,690-15-3870,American,Georgia,Yes
SSCD_321,Graduate,International,Computer Science,Spring,2,33,9,No,General,Not Eligible,"Artificial Intelligence, Human-Computer Interaction, Blockchain","Dr. Maya Iyer, Dr. Priya Nandakumar, Dr. Noah Williams",Dr. Daniel Cho,2002-02-21,23,182-51-3430,Indian,Chennai,Yes
SSCD_174,Undergraduate,Domestic,Engineering,Fall,8,120,9,,"In-State, General",In-State Grant,"Renewable Energy, Biomedical Engineering","Dr. Hannah Fischer, Dr. Fatima Ali",Taylor Johnson,2008-05-19,17,,American,Texas,No
SSCD_877,Graduate,International,Computer Science,Spring,2,33,9,No,"Athlete, General",Not Eligible,Artificial Intelligence,Dr. Maya Iyer,Dr. Daniel Cho,2000-02-05,25,472-57-5634,Indian,Kolkata,Yes
SSCD_176,Undergraduate,Domestic,Engineering,Fall,5,120,9,,"Merit, Alumni, In-State, General",Work Study,Renewable Energy,Dr. Hannah Fischer,Taylor Johnson,2005-02-19,20,229-45-1745,American,Texas,Yes
SSCD_851,Undergraduate,Domestic,Arts,Spring,6,120,9,,"Veteran, Alumni, In-State, General",Direct Subsidized Loan,Visual Design,,Jamie Kim,2005-10-19,20,640-87-7932,American,Texas,Yes
